,event_type,id,index,period,timestamp,minute,second,possession,possession_team,play_pattern,off_camera,team,player,position,duration,under_pressure,statsbomb_xg,key_pass_id,body_part,type,outcome,technique,first_time,follows_dribble,redirect,one_on_one,open_goal,deflected,start_location_x,start_location_y,end_location_x,end_location_y,end_location_z
35,shot,24ea8959-a57c-4502-9ba3-334da92ae74b,3115,2,00:36:20.427,81,20,197,Belgium,From Corner,,Belgium,Axel Witsel,Right Center Midfield,1.173,,0.010292118,,Right Foot,Open Play,Off T,Normal,,,,,,,94.0,56.0,120.0,38.0,5.2
36,shot,a714a278-e31b-48e1-92ad-c94b4ac662ee,3382,2,00:44:16.907,89,16,211,Belgium,From Throw In,,Belgium,Michy Batshuayi Tunga,Center Forward,0.813,,0.16502693,470e0809-6b9c-4a5c-82ab-692754223bb5,Left Foot,Open Play,Goal,Half Volley,True,,,,,,113.0,35.0,120.0,43.6,0.1
37,shot,907de5df-2aa3-4092-9708-ace3e3184846,3387,2,00:45:30.187,90,30,212,Tunisia,From Kick Off,,Tunisia,Wahbi Khazri,Center Forward,2.933,,0.011951736,305bb754-aa8a-4b51-985c-fa490bebe384,Right Foot,Open Play,Off T,Normal,,,,,,,63.0,42.0,120.0,40.1,4.4
38,shot,ffa450ff-52b2-4869-a1c5-114cb7c8e9db,3425,2,00:46:14.827,91,14,214,Belgium,From Free Kick,,Belgium,Michy Batshuayi Tunga,Center Forward,1.133,,0.21442711,5d8965c1-7a4d-4a14-a42d-1ffa0ec2cc50,Left Foot,Open Play,Off T,Normal,,,,,,,103.0,37.0,120.0,45.4,0.4
39,shot,4b1227a6-cc5d-410a-afe1-4bcf0dad5380,3475,2,00:47:24.147,92,24,218,Tunisia,Regular Play,,Tunisia,Wahbi Khazri,Center Forward,1.173,,0.27132893,445fd0b0-e641-4ffc-96a4-c4efd567ad02,Right Foot,Open Play,Goal,Normal,True,,,,,,111.0,44.0,120.0,36.8,0.5
0,shot,3e0c5a8e-9c11-40e6-92fb-dad5cffa5130,223,1,00:04:52.880,4,52,12,Peru,From Free Kick,,Peru,Luis Jan Piers Advíncula Castrillón,Right Back,1.973,True,0.010184587,df6396ce-ddb6-415e-a795-4eb9f9a6ba90,Right Foot,Open Play,Off T,Half Volley,True,,,,,,87.0,57.0,120.0,49.1,7.7
1,shot,6e6f1221-8258-4bc9-a22d-90a2a2a84f98,305,1,00:07:11.200,7,11,18,Peru,Regular Play,,Peru,Víctor Yoshimar Yotún Flores,Left Center Midfield,1.173,,0.009402218,3826d418-2a91-42ff-a647-2d6e9c14bd11,Left Foot,Open Play,Saved,Normal,,,,,,,84.0,24.0,118.0,37.4,1.3
2,shot,315613cb-bb28-496f-ad23-8d31d924a7ce,439,1,00:10:49.880,10,49,26,Peru,From Throw In,,Peru,Édison Michael Flores Peralta,Left Wing,1.533,True,0.01631135,be15e7b1-f7db-4c62-a193-0551769370b0,Left Foot,Open Play,Off T,Normal,,,,,,,87.0,41.0,120.0,45.8,3.9
3,shot,a9c7bb5d-0d7f-494e-8cbb-abe1cef0257f,482,1,00:12:06.040,12,6,29,Peru,From Throw In,,Peru,André Martín Carrillo Díaz,Right Wing,0.8,True,0.024568832,,Left Foot,Open Play,Saved,Normal,,,,,,,103.0,58.0,115.0,37.0,0.9
4,shot,4780e70d-299f-408a-8a9a-41c13a363157,571,1,00:13:35.120,13,35,32,Peru,Regular Play,,Peru,Renato Fabrizio Tapia Cortijo,Right Center Midfield,0.72,,0.011179907,cc90badb-f4d6-4deb-b4f1-4d7700bb7ec1,Right Foot,Open Play,Blocked,Normal,True,,,,,,86.0,43.0,98.0,40.0,
5,shot,6e810e75-e9f8-44e8-b089-b50f20623f43,577,1,00:14:11.080,14,11,33,Peru,From Corner,,Peru,Alberto Junior Rodríguez Valdelomar,Left Center Back,4.093,True,0.014436409,76abc089-6ab5-40e3-a101-3186e5ad3e49,Head,Open Play,Wayward,Normal,,,,,,,107.0,37.0,120.0,64.0,
6,shot,e107d3c1-cfa3-4f36-99c9-5cb868eb4e67,763,1,00:19:37.360,19,37,43,Denmark,Regular Play,,Denmark,Pione Sisto Ifolo Emirmija,Left Wing,0.32,,0.03826663,e7f73b8f-67a4-4707-9fa1-8704294abfe1,Left Foot,Open Play,Blocked,Normal,,,,,,,113.0,26.0,113.0,28.0,
7,shot,b824d79d-cb46-4841-b0ec-5e9112b7fd62,953,1,00:26:22.293,26,22,55,Denmark,Regular Play,,Denmark,Thomas Delaney,Left Center Midfield,1.0,True,0.019103376,2559dc67-ade5-4509-999f-049c2a2705d5,Left Foot,Open Play,Off T,Normal,,,,,,,88.0,36.0,101.0,38.0,3.8
8,shot,caabe349-18b5-4321-b8a8-efce92594723,997,1,00:28:21.733,28,21,58,Peru,From Throw In,,Peru,Jefferson Agustín Farfán Guadalupe,Center Forward,0.4,,0.103540614,0d782ec3-6314-44e5-afbb-5a13ab3f52be,Right Foot,Open Play,Blocked,Normal,,,,True,,,108.0,51.0,111.0,50.0,
9,shot,7bda8f5f-b0aa-423a-bfed-098b983bbe7a,1360,1,00:38:46.520,38,46,73,Denmark,From Free Kick,,Denmark,Christian Dannemann Eriksen,Center Attacking Midfield,0.5,,0.08701279,,Right Foot,Free Kick,Blocked,Normal,,,,,,,100.0,52.0,109.0,46.0,
10,shot,bcc5fc8c-07b6-4b48-96b1-f12251cc9091,1365,1,00:38:48.573,38,48,73,Denmark,From Free Kick,,Denmark,Lasse Schöne,Right Center Midfield,0.907,,0.016224092,,Right Foot,Open Play,Saved,Half Volley,True,,,,,,94.0,43.0,119.0,41.5,1.4
11,shot,88098824-f35e-415e-a7c6-5d22a1586b07,1421,1,00:40:45.000,40,45,76,Denmark,From Throw In,,Denmark,Thomas Delaney,Left Center Midfield,2.093,,0.028146343,593eb893-a955-4a13-b57b-f044fa9d91a2,Left Foot,Open Play,Off T,Half Volley,True,,,,,,102.0,24.0,120.0,47.3,0.1
12,shot,d494b099-6afd-4da2-b6d6-8ad0fccd1dc0,1526,1,00:45:42.240,45,42,81,Peru,Other,,Peru,Christian Alberto Cueva Bravo,Center Attacking Midfield,0.613,,0.76,,Right Foot,Penalty,Off T,Normal,,,,,,,108.0,40.0,120.0,40.1,4.1
13,shot,e16aaffb-add5-40dd-a66b-a7e8e145be22,1540,1,00:46:59.120,46,59,83,Denmark,From Corner,,Denmark,Yussuf Yurary Poulsen,Right Wing,1.573,True,0.091306984,43e0bf78-0f3a-4bf7-b3a1-dab5f1d972b6,Head,Open Play,Off T,Normal,,,,,,,115.0,45.0,120.0,32.9,0.2
14,shot,e076c54f-08dc-4c68-88c7-938bfefe5ff5,1780,2,00:04:55.640,49,55,96,Peru,From Counter,,Peru,Jefferson Agustín Farfán Guadalupe,Center Forward,0.533,,0.015112563,7ee0211a-b96f-4a4c-a2b2-64736f761aa1,Right Foot,Open Play,Blocked,Normal,,,,,,,110.0,60.0,111.0,57.0,
15,shot,08667168-4809-4abc-adc7-e6b5528d6aa0,1815,2,00:05:28.453,50,28,97,Denmark,Regular Play,,Denmark,Jens Stryger Larsen,Left Back,1.56,True,0.008607886,,Right Foot,Open Play,Off T,Normal,,,,,,,90.0,36.0,120.0,42.8,6.3
16,shot,cd82fa0e-8b82-4e30-b720-258e59f0a6e1,1848,2,00:07:54.053,52,54,100,Denmark,From Free Kick,,Denmark,Christian Dannemann Eriksen,Center Attacking Midfield,1.76,,0.011762356,,Left Foot,Open Play,Off T,Half Volley,True,,,,,,103.0,59.0,120.0,45.6,0.5
17,shot,060beb7c-7693-42a1-9d1a-8065b61a6419,1991,2,00:11:02.440,56,2,107,Peru,Regular Play,,Peru,Édison Michael Flores Peralta,Left Wing,1.053,,0.1934625,,Left Foot,Open Play,Off T,Normal,,,,,,,114.0,50.0,120.0,45.8,0.2
18,shot,2309e051-9829-41b1-a332-6941a08a7199,2089,2,00:13:32.040,58,32,112,Denmark,Regular Play,,Denmark,Yussuf Yurary Poulsen,Right Wing,0.813,,0.2005442,791de869-8207-4f47-bd3a-2c82b46ee8c8,Left Foot,Open Play,Goal,Normal,,,,True,,,108.0,28.0,120.0,37.0,0.5
19,shot,cf205ac6-1870-4fcc-a6f2-87304b153d9a,2121,2,00:15:07.920,60,7,113,Peru,Regular Play,,Peru,Édison Michael Flores Peralta,Left Wing,0.573,,0.12927915,3cbbf7e4-ab6b-4004-a236-6dd97b9d4cae,Left Foot,Open Play,Saved,Normal,,,,,,,108.0,29.0,120.0,40.7,1.0
