duration,pass_aerial_won,pass_angle,pass_body_part_name,pass_cross,pass_cut_back,pass_deflected,pass_height_name,pass_length,pass_switch,pass_through_ball,play_pattern_name,shot_aerial_won,shot_body_part_name,shot_first_time,shot_one_on_one,shot_open_goal,shot_technique_name,under_pressure,goal,distance,angle,build_up_duration,direct_free_kick,shot_cone,num_players_in_shot_cone,distance_to_nearest_opponent,pass_angle_na,pass_length_na,distance_to_nearest_opponent_na
1.133,0,0.0,,0,0,0,,0.0,0,0,From Corner,0,other,0,0,0,Half Volley,1,0,17.029386365926403,0.05875582271572269,32.919999999999995,0,68.0,0,8.06225774829855,True,True,False
1.173,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,other,0,0,0,Normal,0,0,25.079872407968907,0.07982998571223732,52.958999999999996,1,100.0,1,7.0,True,True,False
1.293,0,0.0,,0,0,0,,0.0,0,0,From Corner,0,other,1,0,0,Half Volley,0,0,28.635642126552707,0.43240777557053783,32.74699999999999,0,104.0,0,16.0312195418814,True,True,False
1.0,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,other,0,0,0,Normal,0,0,26.570660511172846,0.34555558058171215,4.88,1,100.0,1,5.830951894845301,True,True,False
0.933,0,0.0,,0,0,0,,0.0,0,0,From Corner,0,other,1,0,0,Volley,0,0,8.48528137423857,0.7853981633974483,1.5200000000000002,0,24.0,1,7.615773105863909,True,True,False
0.813,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,other,0,0,0,Volley,0,0,18.973665961010276,1.2490457723982544,2.787,0,24.0,0,4.242640687119285,True,True,False
0.853,0,0.0,,0,0,0,,0.0,0,0,From Throw In,0,other,1,0,0,Half Volley,1,0,24.186773244895647,0.5191461142465229,9.347000000000001,0,84.0,1,13.601470508735444,True,True,False
0.493,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,other,0,0,0,Normal,0,0,3.1622776601683795,0.3217505543966422,5.5200000000000005,0,12.0,0,6.082762530298219,True,True,False
1.093,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,other,0,0,0,Half Volley,0,0,25.632011235952593,0.35877067027057225,1.8679999999999999,0,96.0,1,7.0,True,True,False
0.933,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,other,1,0,0,Normal,0,0,26.419689627245813,0.5144513130590277,18.506999999999998,1,92.0,1,6.324555320336759,True,True,False
1.173,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,other,1,0,0,Normal,0,1,9.848857801796104,0.41822432957922906,41.199999999999996,0,36.0,0,7.810249675906654,True,True,False
0.4,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,other,0,0,0,Normal,0,0,31.89043743820395,0.7188299996216245,4.093,1,96.0,1,4.0,True,True,False
0.493,0,0.0,,0,0,0,,0.0,0,0,From Corner,0,other,0,0,0,Normal,0,0,11.180339887498949,0.4636476090008061,9.706999999999999,0,40.0,1,5.0990195135927845,True,True,False
1.133,0,0.0,,0,0,0,,0.0,0,0,From Counter,0,other,0,0,0,Normal,1,0,25.632011235952593,0.35877067027057225,22.426,0,96.0,0,8.06225774829855,True,True,False
1.293,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,other,0,0,0,Normal,0,0,27.294688127912362,0.1470783553884025,4.907,1,108.0,1,9.219544457292887,True,True,False
0.227,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,other,1,0,0,Half Volley,0,0,24.73863375370596,0.24497866312686414,1.533,0,96.0,1,3.0,True,True,False
1.8,0,0.0,,0,0,0,,0.0,0,0,From Throw In,0,other,0,0,0,Normal,0,0,10.44030650891055,1.2793395323170296,11.973,0,12.0,0,3.0,True,True,False
0.32,0,0.0,,0,0,0,,0.0,0,0,From Corner,0,other,1,0,0,Volley,0,0,25.495097567963924,0.19739555984988078,-0.32,0,100.0,1,10.198039027185569,True,True,False
0.32,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,other,0,0,0,Normal,0,0,8.06225774829855,0.12435499454676144,11.16,0,32.0,0,9.433981132056603,True,True,False
1.053,0,0.0,,0,0,0,,0.0,0,0,From Corner,0,other,0,0,0,Half Volley,0,0,25.0,0.0,6.507,0,100.0,1,11.40175425099138,True,True,False
0.763,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,other,1,0,0,Normal,0,0,14.317821063276353,0.21109333322274654,13.876999999999999,0,56.0,2,9.848857801796104,True,True,False
1.853,0,0.0,,0,0,0,,0.0,0,0,From Kick Off,0,other,1,0,0,Lob,0,0,27.784887978899608,0.5280744484263596,12.507,0,96.0,1,4.47213595499958,True,True,False
0.96,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,other,0,0,0,Normal,0,0,27.294688127912362,0.49642275340488184,20.666999999999998,1,96.0,0,5.830951894845301,True,True,False
0.813,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,other,0,0,0,Normal,0,0,21.400934559032695,0.9179496956941223,23.840000000000003,0,52.0,0,11.40175425099138,True,True,False
1.533,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,other,0,0,0,Normal,0,0,27.313000567495326,0.41450687458478597,10.347,1,100.0,1,3.1622776601683795,True,True,False
